epoch,train_loss,val_loss,map50
1,21.653897550575522,15.089089980492226,
2,9.90592741874194,8.700268708742582,
3,5.798565126293875,5.34034682237185,
4,3.7540231782036857,3.836568077405294,
5,2.918173770646791,3.2741016271786814,0.25532656311988833
6,2.572427860558263,3.035173828785236,
7,2.3955979775277805,2.880147004738832,
8,2.3046955473174457,2.798786392578712,
9,2.2197249303913487,2.7245141909672665,
10,2.183980064502554,2.6743543912202883,0.3421797875314951
11,2.1193950981707186,2.6142932512821297,
12,2.071468652445377,2.604157267472683,
13,2.0377095187492813,2.558777486666655,
14,2.0234062285036654,2.5521073249670176,
15,2.0129415013154963,2.5241272342510714,0.3843866616487503
16,1.9834508905079373,2.517843247988285,
17,1.9614303378985196,2.520614573588738,
18,1.9575096308954893,2.5061501203439174,
19,1.9446060533228988,2.4574603713475742,
20,1.9314393946562955,2.4472883496529017,0.3945054091513157
21,1.904909509489435,2.459536292614081,
22,1.906709825670397,2.4701900084813437,
23,1.9043211831089153,2.43490617397504,
24,1.8848394003614035,2.3994462123283973,
25,1.8834088088002445,2.4061637429090648,0.40856078527867795
26,1.8777998524743158,2.446912516386081,
27,1.8588164833061482,2.429500324603839,
28,1.8583147424528497,2.396322120458652,
29,1.8599559703848998,2.415610976708241,
30,1.8447136906583337,2.377368444051498,0.4097425799816847
31,2.028577185045338,2.4111700715162816,
32,1.9897742409503598,2.4538325652098045,
33,1.9612429565444416,2.4268857424075785,
34,1.9124484384382092,2.3851750691731772,
35,1.8963948382373943,2.4283308661901035,0.4112349536269903
36,1.8714059600498685,2.3996166036679196,
37,1.8645537875333809,2.4586122876558547,
38,1.8310649712573608,2.353398812122834,
39,1.8170112279391197,2.276295290543483,
40,1.7969642500159364,2.3919609051484327,0.43326461166143415
41,1.76935380858344,2.3562234670687943,
42,1.7653347405687723,2.307641924955906,
43,1.7521979399169274,2.231901463789818,
44,1.7446582280530893,2.257444150936909,
45,1.7097094132633284,2.2792765544011044,0.4445705931633711
46,1.710842489275693,2.264371401224381,
47,1.6997774070754474,2.202749768892924,
48,1.6822044605453963,2.2263155533717227,
49,1.6621075376120313,2.247090466511555,
50,1.6477824771726453,2.2847977677981057,0.43818018287420274
51,1.6446556345376269,2.169943039233868,
52,2.4107936537864125,2.936343951103015,
53,2.2204983372485776,2.4828270016572414,
54,2.0895621482009594,2.4045994006670437,
55,2.0160769560162164,2.3594749707442064,0.38190030939877034
56,1.9422587004407492,2.343618238583589,
57,1.9272232474507511,2.981106001597184,
58,1.8974997822382276,2.2844513410176988,
59,1.8177195888688666,2.338942607243856,
60,1.7790162448257092,2.2236691315968833,0.44158536940813065
61,1.7556263889585222,2.2472849595241056,
62,1.7141034013976462,2.2985361646383238,
63,1.6867425855982718,2.279148029975402,
64,1.6636794483339465,2.1137651220346108,
65,1.628303220373323,2.2181752721468606,0.4455272823572159
66,1.6388474274786282,2.125696055400066,
67,1.5761848283090187,2.1231341866346507,
68,1.5825034550258092,2.1589523064784513,
69,1.555340303877606,2.1230236689249673,
70,1.535990767957621,2.16844408481549,0.4616582222282887
71,1.532046136248526,2.141213204616155,
72,1.5115230882029735,2.1921633115181556,
73,1.496196249276975,2.1651280170831924,
74,1.477987828632119,2.085227364148849,
75,1.4618225401432818,2.071650735842876,0.4731290366500616
76,1.4463219879676936,2.1271471029672866,
77,1.4505904089069734,2.1354804955996,
78,1.432028761011293,2.084894840533917,
79,1.4754687292235238,2.1255080822186594,
80,1.4253670041625564,2.1277500299307017,0.46016324535012243
81,1.39885762184283,2.1519912282625833,
82,1.4135176709720068,2.179053156803816,
83,1.3937818118043848,2.114794839651157,
84,1.3913589147527246,2.1282596114354257,
85,1.3895862093303195,2.079333040958796,0.4702221743762493
86,1.3704789315411483,2.081640587403224,
87,1.3466560532227447,2.080690188285632,
88,1.3570260249049506,2.0966947873433432,
89,1.3460465207063093,2.139907092620165,
90,1.3435877607595967,2.091910857420701,0.468431594222784
91,1.2643689455673042,1.9909135286624615,
92,1.2321441401385893,1.9724108439225416,
93,1.2090390476480875,1.9628318685751696,
94,1.184452571463861,1.9537674081631196,
95,1.1893122212306872,1.9521528482437134,0.48829698413610456
96,1.1666808006386038,1.9507892391620538,
97,1.1646691786276329,1.9428987365502577,
98,1.1711327260985798,1.9538363615671794,
99,1.1559439745648947,1.940356350862063,
100,1.1592163922243597,1.9396513929733863,0.4920653276145458
101,1.151096637644823,1.9360281213735924,
102,1.1464738677827548,1.9457381826180677,
103,1.1423005144108216,1.9407045596685164,
104,1.1312844166424283,1.9335640103389056,
105,1.1325058681624276,1.9362311271520762,0.492073105275631
106,1.1312463656355516,1.942290634681017,
107,1.1305392966767536,1.931884495111612,
108,1.1239113925046442,1.927820364634196,
109,1.1198773720089532,1.9226408509107737,
110,1.1210896874486709,1.9255339533854754,0.49210706278681754
111,1.117075722880345,1.9311998608784797,
112,1.1156921453457542,1.931754402625255,
113,1.117070727596872,1.9316193568400848,
114,1.1117763650463355,1.9272059828807147,
115,1.1212594898050816,1.9285441285524614,0.49520978406071664
116,1.1185962553189988,1.9267481152827923,
117,1.1253267547338626,1.9284882209239862,
118,1.1186065966098004,1.9234885619236872,
119,1.1184926797064114,1.921495897647662,
120,1.1173834867459007,1.928611125701513,0.49329922795295716
121,1.117667622087545,1.9368679844416106,
