epoch,train_loss,val_loss,map50
1,19.743396236169293,14.566347488990196,
2,7.844337317934368,8.123313781542656,
3,4.565753048451251,5.2451879519682665,
4,3.492279387809135,4.556765580788637,
5,3.116800340446266,3.9800362709241037,0.14696183309424668
6,2.8310113404248214,4.153533198894599,
7,2.671614134633863,4.186739197144141,
8,2.5399162244612645,3.629166969886193,
9,2.497665866001232,3.384488759896694,
10,2.4037828744608465,3.575739371470916,0.24337507952004672
11,2.39701146324629,3.317588677773109,
12,2.322359910802952,3.439911738420144,
13,2.276754049260644,3.380201455874321,
14,2.248658971436696,3.27126620671688,
15,2.2117373160874063,3.2322289087833505,0.26214356273412703
16,2.206876327632477,3.3637793981111965,
17,2.1515820049411083,3.08641132635948,
18,2.1347036683881604,3.168757594548739,
19,2.148555566445281,3.0619138876597085,
20,2.1140411526079803,3.1541131765414505,0.2759218128398061
21,2.1050015347344533,3.117193986208011,
22,2.070844016019902,3.4645443635109143,
23,2.0805812190398285,3.038531028307401,
24,2.0438566405800778,3.2157074977190065,
25,2.0511891307978094,3.271200357339321,0.29101981930434706
26,2.0479338367012936,3.60609049980457,
27,2.052853399262005,3.0408440094727736,
28,2.011649192069948,3.3998149022077904,
29,1.9978971808113186,3.134259480696458,
30,1.9986180080870404,3.0574850271909666,0.2940048842690885
31,1.9903238266131131,3.501735445780632,
32,1.9828149310410252,3.09638642347776,
33,1.968171670169904,3.59436825911204,
34,1.9612605254162232,3.167227613620269,
35,1.9530752892659897,3.044000683686672,0.313313352689147
36,1.9467876252060232,2.9931119833237085,
37,1.9391365368854125,3.2678635028692393,
38,1.9407376078565148,2.9490336149166794,
39,1.9274763945907238,2.933509022761614,
40,1.9247973172360866,2.978320522186084,0.3049118245020509
41,2.8361450235816044,3.027294458487095,
42,1.9849461252624925,2.918988530452435,
43,1.9358405993251726,2.913303194901882,
44,1.9244630373582876,2.903183102607727,
45,1.904153804521303,2.910010285866566,0.3265408714301884
46,1.8832838498487436,2.9001169479810276,
47,1.8727179636826385,2.899882273796277,
48,1.866794050430239,2.878717697583712,
49,1.8540114937601864,2.8957369296978683,
50,1.8541791121471802,2.8958386121652064,0.3388896687887609
51,1.8364952857890184,2.8981248232034535,
52,1.8339503676734836,2.8826100734563975,
53,1.8333866154365097,2.870597527577327,
54,1.827193815275509,2.903067347330925,
55,1.824220632954454,2.882065785236848,0.337736591976136
56,1.8135036515453147,2.8732600609461465,
57,1.8086128377546216,2.864381120755122,
58,1.8185785428897754,2.873003812936636,
59,1.7864354526674426,2.8709801038106284,
60,1.785935479701716,2.8915008581601658,0.33971919156610964
61,1.7759082119437257,2.868201971054077,
62,1.7658244086048318,2.859128090051504,
63,1.7686147722038064,2.868899006109971,
64,1.7601806293583284,2.851612442579025,
65,1.7598492615931742,2.8716089175297665,0.344243642129004
66,1.7603725056850772,2.8624637065789638,
67,1.758994223528387,2.8644639284182816,
68,1.768880797168923,2.8606482102320743,
69,1.7664785854604714,2.861112573207953,
70,1.7625253407651393,2.8583292686022244,0.34261888889595865
71,1.7680138354135757,2.8706695085916762,
72,1.7507226384284413,2.8700841726400914,
73,1.759588462965829,2.8552613839125023,
74,1.7557765222424246,2.8595283306561985,
75,1.7477048980683434,2.858221802956019,0.34575506057590244
76,1.7441785712960143,2.852515147282527,
77,1.7512386968237093,2.843459520584498,
78,1.751403768550475,2.8441363603640823,
79,1.7513937913312876,2.8615745183749075,
80,1.7366593417974052,2.8537140901272116,0.34258176339790225
81,1.7489398777715028,2.850894331932068,
82,1.7399238260556371,2.8435530356871777,
83,1.7446115398959303,2.853216223227672,
84,1.7418692517004417,2.8540504223261123,
85,1.7386291676046306,2.850861900892013,0.3442668574862182
86,1.7472584514544278,2.8529714040267162,
87,1.7505302208270805,2.8571803386394796,
88,1.7532270912037853,2.8706423319303074,
89,1.7402775849154557,2.8596567801940136,
90,1.7379199551799582,2.866933455834022,0.3464993824250996
91,1.7385897226775475,2.854154953589806,
92,1.7375868973124442,2.8683225008157582,
93,1.7292302317600914,2.8529937939766126,
94,1.7322125931964418,2.8419329661589403,
95,1.7478027854646956,2.8591247491347485,0.3467073545791209
96,1.7353964731039688,2.8470931236560526,
97,1.7409753541688662,2.8560919822790685,
98,1.7429829697811465,2.8539994924496384,
99,1.7235561972879534,2.8529126888666396,
100,1.727680058552952,2.8453711576950855,0.34514449229463934
