epoch,train_loss,val_loss,map50
1,7.985441670914875,5.968396923618932,
2,6.2405994269838665,5.743263541498492,
3,5.919519026767333,5.725743675231934,
4,5.7195756113207015,5.678681656622118,
5,5.605684843302694,5.570397044766334,0.007302343495575769
6,5.480834606531504,5.723740703828873,
7,5.373199137941751,5.420177778120964,
8,5.286773966085957,5.364290414317962,
9,5.2088794188149645,5.371686597024241,
10,5.173829961007166,5.356740723886798,0.008033482993414508
11,5.176467013174963,5.270587888840706,
12,5.096474780539288,5.393099261868384,
13,5.071113610359693,5.1996035314375355,
14,5.0084700041295935,5.811152372052593,
15,4.982380844911553,5.133927757509293,
16,4.967573588419144,5.731763002949377,
17,4.929681381203493,7.568754677618704,
18,4.9097333985406,5.974908959481024,
19,4.874256523419531,6.004700048508183,
20,4.842161531153793,5.809312306680987,0.012312463286070852
21,4.823195760774796,5.938638191838418,
22,4.803164753214273,6.042107349826444,
23,4.809173623567382,5.467390409592659,
24,4.756121718285167,6.054107075352823,
25,4.749259221507776,9.178474109403549,
26,4.726294925774386,9.149622572621992,
27,4.699532384577865,5.6565401677162415,
28,4.6692398040911405,6.35610767949012,
29,4.634003384232981,5.422642100241877,
30,4.6386769535918955,19.6017427444458,0.008166368583624717
31,4.644028022482589,5.5775591327298075,
32,4.597196508558561,6.035680944688859,
33,4.534698498755348,8.13041264780106,
34,4.536830424802184,11.758048911248483,
35,4.525689829730619,9.453333208637853,
36,4.459889695451066,5.680982275932066,
37,4.453394432785888,6.992189291984804,
38,4.439334317984268,5.832738651767854,
39,4.419765530405818,5.9306519277634155,
40,4.421132339473857,6.94500784720144,0.022467024972138462
41,4.411889238247079,9.258277728480678,
42,4.386641101947623,5.730593995125063,
43,4.382404504595576,5.261878408924225,
44,4.381445053001168,7.5672854531195854,
45,4.365488492844188,5.6212810577884795,
46,4.329309600200432,6.789893485653785,
47,4.339774810669505,5.911525478670674,
48,4.329525708231687,4.946351475869456,
49,4.316492297014214,5.8656762138489755,
50,4.319223705866162,5.24934236157325,0.019466014482895845
51,4.289080443989817,6.28362795922064,
52,4.303151010086178,5.251128459745837,
53,4.2606286758621685,5.619820570176648,
54,4.270589430820068,7.162551372281967,
55,4.247585206878692,5.958329394555861,
56,4.246608800869651,6.5088954694809456,
57,4.222937018714816,4.890386338387766,
58,4.235865445670934,5.086675200923796,
59,4.230107295006859,6.678028789643318,
60,4.1975148442168955,6.21319634837489,0.02197081775739207
61,4.1988925390722205,6.443191863644508,
62,4.18466258095038,7.470544622790429,
63,4.1830410828461515,4.822560224225445,
64,4.15931562291149,5.510400475225141,
65,4.162310373829138,5.344094441013952,
66,4.146071738718099,5.043833074262065,
67,4.136217991357604,7.441786569164646,
68,4.134575047548213,6.730425866957634,
69,4.129551855753748,5.590591061499811,
70,4.117460517809658,5.163297760871149,0.027938739683668244
71,4.11646416886893,4.865491039522232,
72,4.073633850311221,5.416954891143306,
73,4.08391383393851,5.018813017875917,
74,4.096258196131143,5.400375293916271,
75,4.079257242928141,4.86120580550163,
76,4.077907447649245,8.412696255407026,
77,4.0583114812733125,4.525370291740663,
78,4.03980515178106,4.3622451443826,
79,4.038305159701344,4.487502359574841,
80,4.0343879387645645,5.04030090455086,0.042295344776721325
81,4.00039402674524,5.001130919302663,
82,3.975873653032605,5.006593951871318,
83,3.965616709477193,6.189927625656128,
84,3.9715593915188174,5.331901207277852,
85,3.953699767819703,6.068059076801423,
86,3.939422666796386,5.220748270711591,
87,3.9675898924757615,5.3030279051872995,
88,3.9410341913635665,4.2527493784504555,
89,3.938169601341012,5.416108092954082,
90,3.9363988743785727,4.378532492729925,0.0618866888275079
91,3.933745601922849,5.120592781805223,
92,3.91229848695998,5.425432806630289,
93,3.9281651564086264,4.755568839657691,
94,3.9372943078228864,4.569836725727204,
95,3.930454194315612,4.277138654647335,
96,3.9308084125224227,4.2093997140084545,
97,3.9185898676802293,4.676802495218093,
98,3.919627232901378,4.3023507256661695,
99,3.900757613789621,5.002967483766617,
100,3.9257010060387687,4.307389243956535,0.06532398567724158
101,3.904391389555913,4.323404276755548,
102,3.9049088167868065,4.414433493152742,
103,3.911937897730058,4.525430710084977,
104,3.915482151002037,4.672184047391338,
105,3.9142253730287884,5.059374644679408,
106,3.91194600902469,4.511427225605134,
107,3.8850807135629837,4.487576596967636,
108,3.8930759660065406,4.477575411335114,
109,3.9055607084141735,4.414028979885963,
110,3.890019114873584,4.6345128490078835,0.055172786518596695
